id,ident,type,name,latitude_deg,longitude_deg,municipality
26544,VIBL,small_airport,Bakshi Ka Talab Air Force Station,26.98830032,80.89309692,Lucknow
31799,VEMH,small_airport,Malda Airport,25.033001,88.133003,Malda
31996,VOMY,small_airport,Mysore Airport,12.23,76.655833,Mysore
30180,VAND,medium_airport,Nanded Airport,19.18330002,77.3167038,Nanded
26515,VENP,small_airport,Nawapara Airport,20.87000084,82.51959991,Nawapara
42723,IN-NVY,small_airport,Neyveli Airport,11.61295605,79.5273819,Neyveli
31692,VEPG,small_airport,Pasighat Airport,28.06609917,95.33560181,Pasighat
32215,IN-RJI,small_airport,Rajouri Airport,33.37789917,74.31520081,Rajouri
32591,VORM,small_airport,Ramnad Naval Air Station,9.325090408,78.97149658,Ramnad
26503,VEHK,small_airport,Hirakud Airport,21.5802002,84.00569916,Sambalpur
26460,VASL,medium_airport,Solapur Airport,17.62800026,75.93479919,Solapur
32433,IN-TEI,small_airport,Tezu Airport,27.94120026,96.13439941,Tezu
26626,VOTJ,small_airport,Tanjore Air Force Base,10.72239971,79.10160065,Thanjavur
3342,VO80,small_airport,Tuticorin Airport,8.724241,78.025803,Thoothukudi
3318,VE85,small_airport,Bentayan Airport,23.0951004,75.88529968,Ujjain
32592,VOVR,small_airport,Vellore Airport,12.90880013,79.06680298,Vellore
32647,VOWA,small_airport,Warangal Airport,17.9144,79.602203,Warangal
35130,IN-0002,heliport,Tawang Air Force Station,27.58846092,91.87769318,Tawang
35129,IN-0001,heliport,Siachen Glacier AFS Airport,35.5,77,Siachen
26497,VECO,small_airport,Cooch Behar Airport,26.33049965,89.46720123,Cooch
42731,IN-0010,small_airport,Walong Advanced Landing Ground,28.129673,97.01966095,Walong 
301058,IN-0075,heliport,Itanagar (Naharlagun),27.111675,93.69610556,Itanagar 
300449,IN-0067,small_airport,Madhubani Airport,26.32916667,86.06,Madhubani
311047,IN-0091,small_airport,saharsa airstrip,25.89194444,86.5825,Saharsa
301046,IN-0072,small_airport,Raigarh Airport (JSPL),21.93528056,83.35021389,Raigarh
306912,IN-0081,heliport,Annandale Helipad,31.11138889,77.15694444,Annandale
306913,IN-0082,heliport,Ajog Helipad,32.92194444,76.458,Ajog
309944,IN-0089,small_airport,Noamundi Airport,22.19222222,85.54888889,Noamundi
42717,IN-0004,heliport,Leh Helipad,34.12866974,77.53653717,Leh 
301040,IN-0070,small_airport,Vijayanagar Aerodrome (JSW),15.17496667,76.63494722,Vijayanagar
301043,IN-0071,small_airport,Baldota Koppal Aerodrome,15.36009444,76.22005278,Baldota
315328,IN-0095,heliport,Perunad Helipad,9.3539,76.86489,Perunad
42729,IN-0008,heliport,Kavaratti Helipad,10.54166794,72.61604309,Kavaratti
44582,IN-0015,small_airport,Baljek Airport,25.66148758,90.34503937,Baljek 
46623,IN-0060,small_airport,Khargon Govt. Airstrip,21.81003019,75.55443764,Khargon
309587,IN-0086,small_airport,CHINDWARA AIRFIELD,22,78.93,Chinwara
46550,IN-0027,heliport,Thuampui Helipad,23.74586667,92.73673333,Thuampui
46551,IN-0028,heliport,Pukpui Helipad,22.94226667,92.76885,Pukpui 
46552,IN-0029,heliport,Lunglei Helipad,22.86838333,92.7633,Lunglei
46554,IN-0031,heliport,Vairengte Helipad,24.47891667,92.75393333,Vairengte
301049,IN-0073,small_airport,Angul Airport (JSPL),20.91195,85.03258333,Angul 
311049,IN-0092,small_airport,Jajpur ( Sukinda ) Airstrip,21.03194444,85.75388889,Jajpur
311106,IN-0093,small_airport,Vedanta Lanjigarh Airstrip,19.71944444,83.39361111,Vedanta
308281,IN-0085,small_airport,Airport,26.436257,73.102823,Airport
42730,IN-0009,heliport,Gangtok Helipad,27.35569763,88.61410522,Gangtok 
44362,IN-0012,small_airport,Pakyong Airport (Under Construction),27.2313,88.587196,Pakyong 
300715,IN-0069,small_airport,Sultanpur,26.2475,82.0425,Sultanpur
46556,IN-0033,small_airport,Aamby Valley Airport,18.60961667,73.37758333,Aamby Valley
327453,VIKG,medium_airport,Kishangarh Airport,26.601473,74.814147,Ajmer
317900,IN-0096,small_airport,Akli Airport,25.8077,70.2943,Akli
298454,VIAH,small_airport,Dhanipur Airstrip,27.86085631,78.14686775,Aligarth
299082,IN-0065,small_airport,Amravati (Belora) Airstrip,20.81334851,77.71790743,Amravati
43966,IN-0011,medium_airport,Jakkur Aerodrome,13.07674,77.597645,Bengaluru
306915,IN-0083,heliport,Bilaspur Helipad,31.34513889,76.75675,Bilaspur
46574,IN-0051,heliport,"Aviation Research Centre, RAW Headquarter Helipad",30.70645,77.8615,Chakrata
44474,VEDZ,small_airport,Daporijo Airport,27.98550034,94.22280121,Daporijo
317984,IN-0100,small_airport,Sido Kanhu Airport,24.231185,87.269989,Dumka
317982,VEDG,medium_airport,Kazi Nazrul Islam Airport,23.6225,87.243,Durgapur
317983,IN-0099,small_airport,Durgapur Steel Plant Airport,23.58331,87.339787,Durgapur
46512,IN-0025,small_airport,Faizabad Airport,26.7511282,82.1543651,Faizabad
46566,IN-0043,heliport,STC BSF Indian Army Helipad,24.3267,93.67546667,Gangpimual
46567,IN-0044,heliport,PAP Complex Heliport,31.29208333,75.6072,Jalandhar
46568,IN-0045,heliport,Catholic Medical Centre Helipad,24.8062,93.94275,Kangla
329504,VOKN,medium_airport,Kannur International Airport,11.918614,75.547211,Kannur
46624,IN-0061,small_airport,Khandwa Airport,21.85711746,76.33695602,Khandwa
46572,IN-0049,heliport,Kohima Helipad,25.66306667,94.11393333,Kohima
46562,IN-0039,heliport,Lebong Helipad,27.05908333,88.27773333,Lebong
317981,IN-0098,heliport,Maithon Heliport,23.785,86.7935,Maithon
46575,IN-0052,heliport,Mathura Heliport,27.46423333,77.68241667,Mathura
46377,IN-0022,heliport,Kunjali Helipad,18.89527337,72.80849397,Mimbai
42724,IN-0007,heliport,Minicoy Helipad,8.273630142,73.02230072,Minicoy Island
46376,IN-0021,heliport,Shikra Naval Helibase,18.91334568,72.82921135,Mumbai
